program_id,label_en,label_fr,org_years
ISSA9,Materiel Management Services,Services de gestion du matériel,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSAZ,Acquisition Management Services,Services de gestion des acquisitions,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
BST00,Members and House Officers,Députés et agents supérieurs de la Chambre,"{""hoc-cdc"": [""2026-2027""]}"
BSU00,House Administration,Administration de la Chambre,"{""hoc-cdc"": [""2026-2027""]}"
BED01,Inclusive Communities,Collectivités inclusives,"{""acoa-apeca"": [""2026-2027""]}"
BED02,Diversified Communities,Collectivités diversifiées,"{""acoa-apeca"": [""2026-2027""]}"
BED03,Research and Development and Commercialization,Recherche-développement et commercialisation,"{""acoa-apeca"": [""2026-2027""]}"
BED04,Innovation Ecosystem,Écosystème d'innovation,"{""acoa-apeca"": [""2026-2027""]}"
BED05,Business Growth,Croissance des entreprises,"{""acoa-apeca"": [""2026-2027""]}"
BED06,Trade and Investment,Commerce et investissement,"{""acoa-apeca"": [""2026-2027""]}"
BED07,Policy Research and Engagement,Recherche stratégique et mobilisation,"{""acoa-apeca"": [""2026-2027""]}"
ISS00,Internal services,Services internes,"{""acoa-apeca"": [""2026-2027""], ""csps-efpc"": [""2026-2027""], ""ccohs-cchst"": [""2026-2027""], ""cgc-ccg"": [""2026-2027""], ""chrc-ccdp"": [""2026-2027""], ""cics-scic"": [""2026-2027""], ""cannor"": [""2026-2027""], ""cnsc-ccsn"": [""2026-2027""], ""crtc"": [""2026-2027""], ""tsb-bst"": [""2026-2027""], ""cta-otc"": [""2026-2027""], ""cb-cda"": [""2026-2027""], ""cas-satj"": [""2026-2027""], ""wd-deo"": [""2026-2027""], ""ced-dec"": [""2026-2027""], ""feddevontario"": [""2026-2027""], ""fcac-acfc"": [""2026-2027""], ""fintrac-canafe"": [""2026-2027""], ""irb-cisr"": [""2026-2027""], ""org231"": [""2026-2027""], ""lac-bac"": [""2026-2027""], ""lp-bp"": [""2026-2027""], ""mgerc-ceegm"": [""2026-2027""], ""mpcc-cppm"": [""2026-2027""], ""nbc-ccbn"": [""2026-2027""], ""cer-rec"": [""2026-2027""], ""nfb-onf"": [""2026-2027""], ""pbc-clcc"": [""2026-2027""], ""elections"": [""2026-2027""], ""fja-cmf"": [""2026-2027""], ""ocl-cal"": [""2026-2027""], ""ocol-clo"": [""2026-2027""], ""ocsec-bccst"": [""2026-2027""], ""wage"": [""2026-2027""], ""ppsc-sppc"": [""2026-2027""], ""osgg-bsgg"": [""2026-2027""], ""psic-ispc"": [""2026-2027""], ""osfi-bsif"": [""2026-2027""], ""pmprb-cepmb"": [""2026-2027""], ""pco-bcp"": [""2026-2027""], ""psc-cfp"": [""2026-2027""], ""scc-csc"": [""2026-2027""], ""sirc-csars"": [""2026-2027""], ""tf"": [""2026-2027""], ""vrab-tacra"": [""2020-2021""], ""snsicp-scpssnr"": [""2026-2027""], ""iic-iac"": [""2026-2027""], ""atssc-scdata"": [""2026-2027""], ""polar-polaire"": [""2026-2027""], ""casdo-ocena"": [""2026-2027""], ""pacifican"": [""2026-2027""], ""fednor"": [""2026-2027""]}"
ISSA0,Internal services,Services internes,"{""acoa-apeca"": [""2018-2019""], ""csps-efpc"": [""2018-2019""], ""ccohs-cchst"": [""2018-2019""], ""iaac-aeic"": [""2018-2019""], ""cgc-ccg"": [""2018-2019""], ""chrc-ccdp"": [""2018-2019""], ""cics-scic"": [""2018-2019""], ""cannor"": [""2018-2019""], ""cnsc-ccsn"": [""2018-2019""], ""crtc"": [""2018-2019""], ""tsb-bst"": [""2018-2019""], ""cta-otc"": [""2018-2019""], ""cb-cda"": [""2018-2019""], ""cas-satj"": [""2018-2019""], ""wd-deo"": [""2018-2019""], ""ced-dec"": [""2018-2019""], ""feddevontario"": [""2018-2019""], ""fcac-acfc"": [""2018-2019""], ""fintrac-canafe"": [""2018-2019""], ""irb-cisr"": [""2018-2019""], ""lac-bac"": [""2018-2019""], ""lp-bp"": [""2018-2019""], ""mgerc-ceegm"": [""2018-2019""], ""mpcc-cppm"": [""2018-2019""], ""nbc-ccbn"": [""2018-2019""], ""cer-rec"": [""2018-2019""], ""nfb-onf"": [""2018-2019""], ""pbc-clcc"": [""2018-2019""], ""elections"": [""2018-2019""], ""fja-cmf"": [""2018-2019""], ""ocl-cal"": [""2018-2019""], ""ocol-clo"": [""2018-2019""], ""ocsec-bccst"": [""2018-2019""], ""wage"": [""2018-2019""], ""oci-bec"": [""2018-2019""], ""ppsc-sppc"": [""2018-2019""], ""osgg-bsgg"": [""2018-2019""], ""psic-ispc"": [""2018-2019""], ""osfi-bsif"": [""2018-2019""], ""opc-cpvp"": [""2018-2019""], ""pmprb-cepmb"": [""2018-2019""], ""pco-bcp"": [""2018-2019""], ""psc-cfp"": [""2018-2019""], ""scc-csc"": [""2018-2019""], ""erc-cee"": [""2018-2019""], ""cpc-cpp"": [""2018-2019""], ""sirc-csars"": [""2018-2019""], ""tf"": [""2018-2019""], ""vrab-tacra"": [""2018-2019""], ""snsicp-scpssnr"": [""2018-2019""], ""iic-iac"": [""2018-2019""], ""atssc-scdata"": [""2018-2019""], ""polar-polaire"": [""2018-2019""]}"
BAA00,Nuclear laboratories,Laboratoires nucléaires,"{""aecl-eacl"": [""2026-2027""]}"
BAB00,Nuclear decommissioning and radioactive waste management,Déclassement nucléaire et gestion des déchets radioactifs,"{""aecl-eacl"": [""2026-2027""]}"
BUF01,Targeting,Ciblage,"{""cbsa-asfc"": [""2026-2027""]}"
BUF02,Intelligence Collection and Analysis,Collecte et analyse du renseignement,"{""cbsa-asfc"": [""2026-2027""]}"
BUF03,Security Screening,Filtrage de sécurité,"{""cbsa-asfc"": [""2026-2027""]}"
BUF04,Traveller Facilitation and Compliance,Facilitation de la circulation et conformité des voyageurs,"{""cbsa-asfc"": [""2026-2027""]}"
BUF05,Commercial Facilitation and Compliance,Facilitation et conformité des opérations commerciales,"{""cbsa-asfc"": [""2026-2027""]}"
BUF06,Anti-Dumping and Countervailing,Antidumping et compensation,"{""cbsa-asfc"": [""2026-2027""]}"
BUF07,Trusted Traveller,Voyageurs fiables,"{""cbsa-asfc"": [""2026-2027""]}"
BUF08,Trusted Trader,Négociants fiables,"{""cbsa-asfc"": [""2026-2027""]}"
BUF09,Recourse,Recours,"{""cbsa-asfc"": [""2026-2027""]}"
BUF10,Force Generation,Constitution des forces,"{""cbsa-asfc"": [""2026-2027""]}"
BUF11,Buildings and Equipment,Immeubles et d'équipements,"{""cbsa-asfc"": [""2026-2027""]}"
BUF12,Science and Engineering,Sciences et génie,"{""cbsa-asfc"": [""2026-2027""]}"
BUF13,Trade Facilitation and Compliance,Facilitation et conformité des échanges commerciaux,"{""cbsa-asfc"": [""2026-2027""]}"
BUG01,Immigration Investigations,Enquêtes en matière d'immigration,"{""cbsa-asfc"": [""2026-2027""]}"
BUG02,Detentions,Détentions,"{""cbsa-asfc"": [""2026-2027""]}"
BUG03,Hearings,Audiences,"{""cbsa-asfc"": [""2026-2027""]}"
BUG04,Removals,Renvois,"{""cbsa-asfc"": [""2026-2027""]}"
BUG05,Criminal Investigations,Enquêtes criminelles,"{""cbsa-asfc"": [""2026-2027""]}"
BFJ00,Canada Council for the Arts,Conseil des Arts du Canada,"{""cca-cac"": [""2026-2027""]}"
BGJ00,Assistance for housing needs,Aide pour combler les besoins en matière de logement,"{""cmhc-schl"": [""2026-2027""]}"
BGK00,Financing for housing,Financement de l'habitation,"{""cmhc-schl"": [""2026-2027""]}"
BGL00,Housing expertise and capacity development,Savoir-faire en matière de logement et développement du potentiel,"{""cmhc-schl"": [""2026-2027""]}"
BUD00,Canada Post Corporation,Société canadienne des postes,"{""cpc-scp"": [""2026-2027""]}"
BRA01,Tax Services and Processing,Services fiscaux et traitement,"{""cra-arc"": [""2026-2027""]}"
BRA02,Returns Compliance,Observation en matière de production des déclarations,"{""cra-arc"": [""2026-2027""]}"
BRA03,Collections,Recouvrements,"{""cra-arc"": [""2026-2027""]}"
BRA04,Domestic Compliance,Observation nationale,"{""cra-arc"": [""2020-2021""]}"
BRA05,International and Large Business Compliance and Criminal Investigations,Observation du secteur international et grandes entreprises et enquêtes criminelles,"{""cra-arc"": [""2020-2021""]}"
BRA06,Objections and Appeals,Oppositions et appels,"{""cra-arc"": [""2026-2027""]}"
BRA07,Taxpayer Relief,Allègement pour les contribuables,"{""cra-arc"": [""2026-2027""]}"
BRA08,Service Feedback,Rétroaction sur le service,"{""cra-arc"": [""2026-2027""]}"
BRA09,Charities,Organismes de bienfaisance,"{""cra-arc"": [""2026-2027""]}"
BRA10,Registered Plans,Régimes enregistrés,"{""cra-arc"": [""2026-2027""]}"
BRA11,"Policy, Rulings, and Interpretations","Politique, décisions et interprétations","{""cra-arc"": [""2026-2027""]}"
BRA12,Reporting Compliance,Observation en matière d'exactitude des déclarations,"{""cra-arc"": [""2026-2027""]}"
BRB01,Benefits,Prestations,"{""cra-arc"": [""2026-2027""]}"
BRC01,Taxpayers' Ombudsperson,Ombudsman des contribuables,"{""cra-arc"": [""2026-2027""]}"
BTR01,Learning,Apprentissage,"{""csps-efpc"": [""2026-2027""]}"
BEO00,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,"{""catsa-acsta"": [""2026-2027""]}"
BFD00,Canadian Broadcasting Corporation,Société Radio-Canada,
BFZ01,Occupational health and safety information and services,Services et renseignements sur la santé et la sécurité au travail,"{""ccohs-cchst"": [""2026-2027""]}"
BYH00,Canadian Commercial Corporation,Corporation commerciale Canadienne,"{""ccc"": [""2026-2027""]}"
BGA00,Canadian Dairy Commission,Commission canadienne du lait,"{""cdc-ccl"": [""2026-2027""]}"
BGV01,Impact Assessment Policy Development,Élaboration de politiques en matière d'évaluation d'impact,"{""iaac-aeic"": [""2020-2021""]}"
BGV02,Assessment Delivery,Réalisation des évaluations,"{""iaac-aeic"": [""2020-2021""]}"
BGV03,"Assessment Administration, Conduct, and Monitoring","Administration, réalisation et surveillance de l'évaluation","{""iaac-aeic"": [""2026-2027""]}"
BGV04,Indigenous Relations and Engagement,Relations avec les Autochtones et participation des Autochtones,"{""iaac-aeic"": [""2026-2027""]}"
ISS20,Internal services,Services internes,"{""iaac-aeic"": [""2026-2027""], ""opc-cpvp"": [""2026-2027""]}"
BUH01,Setting Rules for Plant Health,Établissement des règles pour la protection des végétaux,"{""cfia-acia"": [""2026-2027""]}"
BUH02,Plant Health Compliance Promotion,Promotion de la conformité en matière de protection des végétaux,"{""cfia-acia"": [""2026-2027""]}"
BUH03,Monitoring and Enforcement for Plant Health,Surveillance et application de la loi en matière de protection des végétaux,"{""cfia-acia"": [""2026-2027""]}"
BUH04,Permissions for Plant Products,Autorisations pour les produits d'origine végétale,"{""cfia-acia"": [""2026-2027""]}"
BUH05,Setting Rules for Animal Health,Établissement des règles pour la santé animale,"{""cfia-acia"": [""2026-2027""]}"
BUH06,Animal Health Compliance Promotion,Promotion de la conformité en matière de santé animale,"{""cfia-acia"": [""2026-2027""]}"
BUH07,Monitoring and Enforcement for Animal Health,Surveillance et application de la loi en matière de santé animale,"{""cfia-acia"": [""2026-2027""]}"
BUH08,Permissions for Animal Products,Autorisations pour les produits d'origine animale,"{""cfia-acia"": [""2026-2027""]}"
BUH09,Setting Rules for Food Safety and Consumer Protection,Établissement de règles pour la salubrité des aliments et la protection des consommateurs,"{""cfia-acia"": [""2026-2027""]}"
BUH10,Food Safety and Consumer Protection Compliance Promotion,Promotion de la conformité en matière de salubrité des aliments et de protection des consommateurs,"{""cfia-acia"": [""2026-2027""]}"
BUH11,Monitoring and Enforcement for Food Safety and Consumer Protection,Surveillance et application de la loi en matière de salubrité des aliments et de protection des consommateurs,"{""cfia-acia"": [""2026-2027""]}"
BUH12,Permissions for Food Products,Autorisations pour les produits alimentaires,"{""cfia-acia"": [""2026-2027""]}"
BUH13,International Standards Setting,Définition de normes internationales,"{""cfia-acia"": [""2026-2027""]}"
BUH14,International Regulatory Cooperation and Science Collaboration,Coopération internationale en matière de réglementation et collaboration scientifique,"{""cfia-acia"": [""2026-2027""]}"
BUH15,Market Access Support,Soutien à l'accès aux marchés,"{""cfia-acia"": [""2026-2027""]}"
BGB01,Grain Quality,Qualité des grains,"{""cgc-ccg"": [""2026-2027""]}"
BGB02,Grain Research,Recherches sur les grains,"{""cgc-ccg"": [""2026-2027""]}"
BGB03,Safeguards for Grain Farmers,Mesures de protection des producteurs de grain,"{""cgc-ccg"": [""2026-2027""]}"
BSA01,Promotion Program,Programme de promotion,"{""chrc-ccdp"": [""2026-2027""]}"
BSB01,Protection Program,Programme de protection,"{""chrc-ccdp"": [""2026-2027""]}"
BSC01,Audit Program,Programme d'audit,"{""chrc-ccdp"": [""2026-2027""]}"
BUI01,Investigator-Initiated Research,Recherche libre,"{""cihr-irsc"": [""2026-2027""]}"
BUI02,Training and Career Support,Formation et soutien professionnel,"{""cihr-irsc"": [""2026-2027""]}"
BUI03,Research in Priority Areas,Recherche priorisée,"{""cihr-irsc"": [""2026-2027""]}"
BWV01,Conference Services,Services de conférences,"{""cics-scic"": [""2026-2027""]}"
BRL00,Canadian Museum for Human Rights,Musée canadien des droits de la personne,"{""cmhr-mcdp"": [""2026-2027""]}"
BRI00,Canadian Museum of History,Musée canadien de l'histoire,"{""cmc-mcc"": [""2026-2027""]}"
BRN00,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,"{""cmip-mciq"": [""2026-2027""]}"
BRQ00,Canadian Museum of Nature,Musée canadien de la nature,"{""cmn-mcn"": [""2026-2027""]}"
BNL01,Community Development,Développement communautaire,"{""cannor"": [""2026-2027""]}"
BNL02,Business Development,Expansion des entreprises,"{""cannor"": [""2026-2027""]}"
BNL03,Policy and Advocacy,Politiques et défense des intérêts,"{""cannor"": [""2026-2027""]}"
BNL04,Northern Projects Management,Gestion des projets nordiques,"{""cannor"": [""2026-2027""]}"
BNL05,Pilimmaksaivik,Pilimmaksaivik,"{""cannor"": [""2026-2027""]}"
BTJ01,Nuclear Fuel Cycle Program,Programme de cycle du combustible nucléaire,"{""cnsc-ccsn"": [""2026-2027""]}"
BTJ02,Nuclear Reactors Program,Programme des réacteurs nucléaires,"{""cnsc-ccsn"": [""2026-2027""]}"
BTJ03,Nuclear Substances and Prescribed Equipment Program,Programme des substances nucléaires et de l'équipement réglementé,"{""cnsc-ccsn"": [""2026-2027""]}"
BTJ04,Nuclear Non-Proliferation Program,Programme de non prolifération nucléaire,"{""cnsc-ccsn"": [""2026-2027""]}"
BTJ05,"Scientific, Regulatory and Public Information Program","Programme de renseignements scientifiques, réglementaires et publics","{""cnsc-ccsn"": [""2026-2027""]}"
BYF00,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,"{""crrf-fcrr"": [""2026-2027""]}"
BRT01,Support for Canadian and Indigenous Content Creation,Soutien pour la création de contenu canadien et de contenu autochtone,"{""crtc"": [""2026-2027""]}"
BRT02,Access to the Communications System,Accès au système de communication,"{""crtc"": [""2026-2027""]}"
BRT03,Protection Within the Communications System,Protection au sein du système de communication,"{""crtc"": [""2025-2026""]}"
BUY00,Security and Intelligence,Sécurité et renseignement,"{""csis-scrs"": [""2026-2027""]}"
BLM01,Space Exploration,Exploration spatiale,"{""csa-asc"": [""2026-2027""]}"
BLM02,Space Utilization,Utilisation de l'espace,"{""csa-asc"": [""2026-2027""]}"
BLM03,Space Capacity Development,Développement de la capacité spatiale,"{""csa-asc"": [""2026-2027""]}"
BKZ00,Canadian Tourism Commission,Commission canadienne du tourisme,"{""ctc-cct"": [""2026-2027""]}"
BWA01,Aviation occurrence investigations,Enquêtes d'événements aéronautiques,"{""tsb-bst"": [""2026-2027""]}"
BWA02,Marine occurrence investigations,Enquêtes d'événements maritimes,"{""tsb-bst"": [""2026-2027""]}"
BWA03,Rail Occurrence Investigations,Enquêtes d'événements ferroviaires,"{""tsb-bst"": [""2026-2027""]}"
BWA04,Pipeline occurrence investigations,Enquêtes d'événements de pipeline,"{""tsb-bst"": [""2026-2027""]}"
BTT01,Analysis and Outreach,Analyse et liaison,"{""cta-otc"": [""2022-2023""]}"
BTT02,Dispute Resolution,Règlement des différends,"{""cta-otc"": [""2026-2027""]}"
BTT03,Determinations and Compliance,Déterminations et conformité,"{""cta-otc"": [""2026-2027""]}"
BUM01,Foreign Signals Intelligence,Renseignement électromagnétique étranger,"{""csec-cstc"": [""2026-2027""]}"
BUM02,Cyber Security and Information Assurance,Cybersécurité et assurance de l'information,"{""csec-cstc"": [""2026-2027""]}"
BUM03,Foreign Cyber Operations,Cyber opérations étrangères,"{""csec-cstc"": [""2026-2027""]}"
BUM04,Operations Enablement,Soutien aux opérations,"{""csec-cstc"": [""2026-2027""]}"
BEZ01,Copyright Tariff Setting and Issuance of Licences,Établissement de tarifs et délivrance de licences pour l'utilisation des droits d'auteur,"{""cb-cda"": [""2026-2027""]}"
BUJ01,Institutional Management and Support,Gestion et soutien en établissement,"{""csc-scc"": [""2026-2027""]}"
BUJ02,Supervision,Surveillance,"{""csc-scc"": [""2026-2027""]}"
BUJ03,Contraband Interdiction and Management,Interception et gestion des objets interdits,"{""csc-scc"": [""2026-2027""]}"
BUJ04,Clinical Services and Public Health,Services cliniques et de santé publique,"{""csc-scc"": [""2026-2027""]}"
BUJ05,Mental Health Services,Services de santé mentale,"{""csc-scc"": [""2026-2027""]}"
BUJ06,Food Services,Services d'alimentation,"{""csc-scc"": [""2026-2027""]}"
BUJ07,Accommodation Services,Services de logement,"{""csc-scc"": [""2026-2027""]}"
BUJ08,Preventive Security and Intelligence,Sécurité préventive et renseignement,"{""csc-scc"": [""2026-2027""]}"
BUK01,Offender Case Management,Gestion des cas des délinquants,"{""csc-scc"": [""2026-2027""]}"
BUK02,Community Engagement,Engagement des collectivités,"{""csc-scc"": [""2026-2027""]}"
BUK03,Chaplaincy Services,Services d'aumônerie,"{""csc-scc"": [""2026-2027""]}"
BUK04,Elder Services,Services d'aînés,"{""csc-scc"": [""2026-2027""]}"
BUK05,Correctional Program Readiness,Préparation aux programmes correctionnels,"{""csc-scc"": [""2019-2020""]}"
BUK06,Correctional Programs,Programmes correctionnels,"{""csc-scc"": [""2019-2020""]}"
BUK07,Correctional Program Maintenance,Programme de maintien des acquis,"{""csc-scc"": [""2019-2020""]}"
BUK08,Offender Education,Éducation des délinquants,"{""csc-scc"": [""2026-2027""]}"
BUK09,CORCAN Employment and Employability,CORCAN – Emploi et employabilité,"{""csc-scc"": [""2026-2027""]}"
BUK10,Social Programs,Programmes sociaux,"{""csc-scc"": [""2026-2027""]}"
BUK11,Correctional Programs,Programmes correctionnels,"{""csc-scc"": [""2026-2027""]}"
BUL01,Community Management and Security,Sécurité et gestion dans la collectivité,"{""csc-scc"": [""2026-2027""]}"
BUL02,Community-Based Residential Facilities,Établissements résidentiels communautaires,"{""csc-scc"": [""2026-2027""]}"
BUL03,Community Correctional Centres,Centres correctionnels communautaires,"{""csc-scc"": [""2026-2027""]}"
BUL04,Community Health Services,Services de santé dans la collectivité,"{""csc-scc"": [""2026-2027""]}"
BEG01,Judicial Services,Services judiciaires,"{""cas-satj"": [""2025-2026""]}"
BEG02,Registry Services,Services de greffe,"{""cas-satj"": [""2025-2026""]}"
BEG03,E-Courts,Tribunaux électroniques,"{""cas-satj"": [""2025-2026""]}"
BEG04,Security,Sécurité,"{""cas-satj"": [""2025-2026""]}"
BEG05,Judicial Support and Registry Services,Services de soutien judiciaire et services du greffe,"{""cas-satj"": [""2026-2027""]}"
BSD01,Arts,Arts,"{""pch"": [""2026-2027""]}"
BSD02,Cultural Marketplace Framework,Cadre du marché culturel,"{""pch"": [""2026-2027""]}"
BSD03,Cultural Industries Support and Development,Soutien et développement des industries culturelles,"{""pch"": [""2026-2027""]}"
BSE01,"National Celebrations, Commemorations and Symbols","Célébrations, commémorations, symboles nationaux","{""pch"": [""2026-2027""]}"
BSE02,Community Engagement and Heritage,Engagement communautaire et patrimoine,"{""pch"": [""2026-2027""]}"
BSE03,Preservation of and Access to Heritage,Préservation et accès au patrimoine,"{""pch"": [""2026-2027""]}"
BSE04,Learning About Canadian History,Apprentissage de l'histoire canadienne,"{""pch"": [""2026-2027""]}"
BSF01,Sport Development and High Performance,Développement du sport et performance de haut niveau,"{""pch"": [""2026-2027""]}"
BSG01,Multiculturalism and Anti-Racism,Multiculturalisme et lutte contre le racisme,"{""pch"": [""2026-2027""]}"
BSG02,Human Rights,Droits de la personne,"{""pch"": [""2026-2027""]}"
BSG03,Indigenous Languages,Langues autochtones,"{""pch"": [""2026-2027""]}"
BSG04,Youth Engagement,Engagement des jeunes,"{""pch"": [""2026-2027""]}"
BSH01,Official Languages,Langues officielles,"{""pch"": [""2026-2027""]}"
BGD01,Visitors,Visiteurs,"{""cic"": [""2026-2027""]}"
BGD02,International Students,Étudiants étrangers,"{""cic"": [""2026-2027""]}"
BGD03,Temporary Workers,Travailleurs temporaires,"{""cic"": [""2026-2027""]}"
BGE01,Federal Economic Immigration,Immigration économique fédérale,"{""cic"": [""2026-2027""]}"
BGE02,Regional Economic Immigration,Immigration économique régionale,"{""cic"": [""2026-2027""]}"
BGE03,Family Reunification,Regroupement familial,"{""cic"": [""2026-2027""]}"
BGE04,Humanitarian/Compassionate and Discretionary Immigration,Immigration pour considérations d'ordre humanitaire et discrétionnaire,"{""cic"": [""2026-2027""]}"
BGE05,Refugee Resettlement,Réinstallation des réfugiés,"{""cic"": [""2026-2027""]}"
BGE06,Asylum,Asile,"{""cic"": [""2026-2027""]}"
BGE07,Settlement,Établissement,"{""cic"": [""2026-2027""]}"
BGF01,Citizenship,Citoyenneté,"{""cic"": [""2026-2027""]}"
BGF02,Passport,Passeports,"{""cic"": [""2026-2027""]}"
BUV01,Tax Policy and Legislation,Politique et législation fiscales,"{""fin"": [""2026-2027""]}"
BUV02,"Economic and Fiscal Policy, Planning and Forecasting","Politiques économique et budgétaire, planification et prévisions","{""fin"": [""2026-2027""]}"
BUV03,Economic Development Policy,Politique de développement économique,"{""fin"": [""2026-2027""]}"
BUV04,Federal-Provincial Relations and Social Policy,Relations fédérales-provinciales et politique sociale,"{""fin"": [""2026-2027""]}"
BUV05,Financial Sector Policy,Politique du secteur financier,"{""fin"": [""2026-2027""]}"
BUV06,International Trade and Finance Policy,Politique des finances et échanges internationaux,"{""fin"": [""2026-2027""]}"
BUV07,Canada Health Transfer,Transfert canadien en matière de santé,"{""fin"": [""2025-2026""]}"
BUV08,Fiscal Arrangements with Provinces and Territories,Arrangements fiscaux avec les provinces et les territoires,"{""fin"": [""2026-2027""]}"
BUV09,Tax Collection and Administration Agreements,Accords de perception fiscale et d'administration fiscale,"{""fin"": [""2026-2027""]}"
BUV10,Commitments to International Financial Organizations,Engagements envers les organisations financières internationales,"{""fin"": [""2026-2027""]}"
BUV11,Market Debt and Foreign Reserves Management,Dette contractée sur les marchés et gestion des réserves de change,"{""fin"": [""2026-2027""]}"
BTF01,Fisheries Management,Gestion des pêches,"{""dfo-mpo"": [""2026-2027""]}"
BTF02,Aboriginal Programs and Treaties,Programmes Autochtones et traités,"{""dfo-mpo"": [""2026-2027""]}"
BTF03,Aquaculture Management,Gestion de l'aquaculture,"{""dfo-mpo"": [""2026-2027""]}"
BTF04,Salmonid Enhancement,Mise en valeur des salmonidés,"{""dfo-mpo"": [""2026-2027""]}"
BTF05,International Engagement,Engagement à l'échelle internationale,"{""dfo-mpo"": [""2026-2027""]}"
BTF06,Small Craft Harbours,Ports pour petits bateaux,"{""dfo-mpo"": [""2026-2027""]}"
BTF07,Conservation and Protection,Conservation et protection,"{""dfo-mpo"": [""2026-2027""]}"
BTF08,Aquatic Animal Health,Santé des animaux aquatiques,"{""dfo-mpo"": [""2026-2027""]}"
BTF09,Biotechnology and Genomics,Biotechnologie et génomique,"{""dfo-mpo"": [""2026-2027""]}"
BTF10,Aquaculture Science,Sciences de l'aquaculture,"{""dfo-mpo"": [""2026-2027""]}"
BTF11,Fisheries Science,Sciences halieutiques,"{""dfo-mpo"": [""2026-2027""]}"
BTF12,Economics and Statistics,Économie et statistiques,"{""dfo-mpo"": [""2026-2027""]}"
BTF13,Fish and Seafood Sector,Secteur du poisson et des fruits de mer,"{""dfo-mpo"": [""2026-2027""]}"
BTG01,Fish and Fish Habitat Protection,Programme de protection du poisson et de son habitat,"{""dfo-mpo"": [""2026-2027""]}"
BTG02,Aquatic Invasive Species,Espèces aquatiques envahissantes,"{""dfo-mpo"": [""2026-2027""]}"
BTG03,Species at Risk,Espèces en péril,"{""dfo-mpo"": [""2026-2027""]}"
BTG04,Marine Planning and Conservation,Planification et conservation marines,"{""dfo-mpo"": [""2026-2027""]}"
BTG05,Aquatic Ecosystem Science,Science liée aux écosystèmes aquatiques,"{""dfo-mpo"": [""2026-2027""]}"
BTG06,Oceans and Climate Change Science,Science liée aux océans et au changement climatique,"{""dfo-mpo"": [""2026-2027""]}"
BTG07,Aquatic Ecosystems Economics,Économie liée aux écosystèmes aquatiques,"{""dfo-mpo"": [""2020-2021""]}"
BTG08,"Hydrographic Services, Data and Science","Services hydrographiques, données et sciences","{""dfo-mpo"": [""2026-2027""]}"
BTH01,Icebreaking Services,Services de déglaçage,"{""dfo-mpo"": [""2025-2026""]}"
BTH02,Aids to Navigation,Aides à la navigation,"{""dfo-mpo"": [""2025-2026""]}"
